DqId,RunId,ConfigId,TaskConfigId,TableName,RowCount,NullCount,DuplicateCount,ValidationStatus,CreatedAt,PipelineRunId
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,112,0,0,SUCCESS,2026-08-13T15:40:17.464Z,6cba3a07-87e1-4e5a-809c-65a43422107a
2.02608E+17,2.02608E+13,5,32,sl_8x8_CallVolume,115,0,0,SUCCESS,2026-08-25T13:42:08.829Z,3475c8ff-ffdb-4323-a994-e16cd3be5d9b
2.02608E+17,2.02608E+13,112,8621,sl_ccp_mappinghistory,1513,0,0,SUCCESS,2026-08-24T11:35:52.410Z,0962alssadgf_as255_d0988006789
2.02608E+17,2.02608E+17,45,195,FormsSAMMSClient,2,0,0,SUCCESS,2026-08-21T02:41:13.115Z,37d39418-848b-43a3-aff1-182cc8bb7455
2.02608E+17,2.02608E+13,109,8608,br_cashflow_transactions,509839,0,0,SUCCESS,2026-08-14T05:38:05.134Z,830c78f2-2c91-4be9-977a-e9ff0c1d8636
2.02608E+17,2.02608E+13,40,159,br_zoom_api_failures_raw,5,0,0,SUCCESS,2026-08-20T04:01:58.498Z,4af62a8a-1c5f-4dad-c48-dc1asdgh56adr09
2.02608E+17,2.02608E+13,130,13687,ClaimDenialPredictionV1,53117522,0,0,SUCCESS,2026-08-24T14:47:19.221Z,31f76fca-6e67-4da9-bdde-70234da73bc2
2.02608E+17,2.02608E+17,106,7845,br_MNComprehensiveAssessment,914,0,0,SUCCESS,2026-08-17T11:05:44.356Z,16b28601-46b7-41d7-bb6b-81142615d65b
2.02608E+17,2.02608E+17,107,8563,sl_mncomprehensiveassessment,914,0,0,SUCCESS,2026-08-17T11:07:18.741Z,16b28601-46b7-41d7-bb6b-81142615d65b
2.02608E+17,2.02608E+13,132,13704,EnrollmentActivityWReadmission,0,0,1,FAILED,2026-08-27T07:32:51.053Z,67cdece8-9745-4c87-ab73-e4e58104b61d
2.02608E+17,2.02608E+13,132,13704,EnrollmentActivityWReadmission,0,0,1,FAILED,2026-08-27T09:03:04.862Z,3fa64f84-15aa-45fb-9cca-2f2fe48cfae1
2.02608E+17,2.02608E+13,132,13704,EnrollmentActivityWReadmission,0,0,1,FAILED,2026-08-27T06:49:09.073Z,475c3e58-0434-45d9-b3f8-9d768448de53
2.02608E+17,2.02608E+17,107,8565,sl_vacomprehensiveassessment,20,0,0,SUCCESS,2026-08-17T11:07:18.741Z,16b28601-46b7-41d7-bb6b-81142615d65b
2.02608E+17,2.02608E+13,112,8620,sl_vw_enrollmentprograms_ret14stat,4917,0,0,ZERO_ROWS,2026-08-24T10:35:35.004Z,0962alssadgf_as255_dc1h56789
2.02608E+17,2.02608E+17,107,8565,sl_vacomprehensiveassessment,20,0,0,SUCCESS,2026-08-15T13:57:23.840Z,56214535-005b-4285-976b-e0172bc11b0b
2.02608E+17,2.02608E+17,107,8565,sl_vacomprehensiveassessment,20,0,0,SUCCESS,2026-08-17T05:10:11.252Z,0b53dc13-182d-4036-9b17-0891eca5f916
2.02608E+17,2.02608E+17,107,8565,sl_vacomprehensiveassessment,20,0,0,SUCCESS,2026-08-15T11:45:24.884Z,09bdfa13-0c4c-4ca3-9dd3-abd349cbbab4
2.02608E+17,2.02608E+13,112,8620,sl_vw_enrollmentprograms_ret14stat,4928,0,0,SUCCESS,2026-08-24T11:35:31.202Z,0962alssadgf_as255_d0988006789
2.02608E+17,2.02608E+13,112,8620,sl_vw_enrollmentprograms_ret14stat,4928,0,0,SUCCESS,2026-08-24T11:28:31.720Z,0962alssadgf_as255_d0988006789
2.02608E+17,2.02608E+13,112,8620,sl_vw_enrollmentprograms_ret14stat,4928,0,0,SUCCESS,2026-08-24T10:57:05.733Z,0962alssadgf_as255_d0988006789
2.02608E+17,2.02608E+17,82,204,br_sf_leads,11,0,0,SUCCESS,2026-08-17T10:09:19.931Z,7037e752-f6e1-4d8a-bc47-4e70a4e83a16
2.02608E+17,2.02608E+17,83,212,sl_sf_leads,67,0,0,SUCCESS,2026-08-21T10:44:25.883Z,45603680-296f-4487-82f1-f8045d5f38e1
2.02608E+17,2.02608E+17,83,212,sl_sf_leads,47,0,0,SUCCESS,2026-08-15T07:40:11.259Z,7aeef17f-6a83-4892-911d-f2c8473c9ddd
2.02608E+17,2.02608E+17,83,212,sl_sf_leads,47,0,0,SUCCESS,2026-08-15T06:42:50.879Z,4b120bb3-f1e6-442e-8114-0fadc28f6b49
2.02608E+17,2.02608E+13,101,13669,sl_QQgltran,194,0,0,SUCCESS,2026-08-12T05:20:14.166Z,869f1a46-93ef-4f12-a49b-3bbeb426170a
2.02608E+17,2.02608E+17,83,212,sl_sf_leads,63,0,0,SUCCESS,2026-08-14T11:17:10.223Z,65af9a38-d304-499c-abe3-51037aa67f0b
2.02608E+17,2.02608E+17,45,190,ClaimStatus,1619,0,392,FAILED,2026-08-21T09:34:53.640Z,859bd6e7-8433-41b7-8f16-164cdd55063d
2.02608E+17,2.02608E+17,106,6816,br_CheckIn,2266,0,0,SUCCESS,2026-08-19T05:35:06.090Z,05916e11-44cf-456b-ac26-991e7ff5d7aa
2.02608E+17,2.02608E+13,1,14,br_Locations,182,0,0,SUCCESS,2026-08-25T02:56:48.503Z,6ee9c1fc-1bc7-4a37-a063-1dfebdad8409
2.02608E+17,2.02608E+17,106,6816,br_CheckIn,2095,0,0,SUCCESS,2026-08-17T11:05:44.356Z,16b28601-46b7-41d7-bb6b-81142615d65b
2.02608E+17,2.02608E+13,6,34,8x8_CallInteractions,47025,0,0,SUCCESS,2026-08-10T04:10:22.982Z,0c0b5e48-d053-4755-97ee-27a6c27d227e
2.02608E+17,2.02608E+13,109,8610,br_cashflow_lockbox,13629,0,0,SUCCESS,2026-08-14T05:39:33.988Z,830c78f2-2c91-4be9-977a-e9ff0c1d8636
2.02608E+17,2.02608E+17,107,8561,slv_uaresultdetail,16998,0,0,SUCCESS,2026-08-11T04:12:11.609Z,6e36e3b5-c33e-4cc8-b6e2-dc5c3524428c
2.02608E+17,2.02608E+17,107,8561,slv_uaresultdetail,24402,0,0,SUCCESS,2026-08-12T09:17:49.923Z,577435af-c452-4617-9a3c-7d2b03361707
2.02608E+17,2.02608E+13,5,33,sl_8x8_Users,5652,0,0,SUCCESS,2026-08-14T03:03:38.639Z,360959fd-08b4-465c-be75-1bdb70b33137
2.02608E+17,2.02608E+13,4,30,br_8x8_Users,5652,0,0,SUCCESS,2026-08-13T17:38:03.242Z,793a1d88-9a51-42e1-b67b-8a9da7bfcd79
2.02608E+17,2.02608E+13,5,33,sl_8x8_Users,5652,0,0,SUCCESS,2026-08-14T02:30:19.860Z,7582fe2a-ab67-4726-aa6a-73a8a3ff4bdb
2.02608E+17,2.02608E+17,107,8558,sl_cows_v6,23738,0,0,SUCCESS,2026-08-15T13:57:23.840Z,56214535-005b-4285-976b-e0172bc11b0b
2.02608E+17,2.02608E+17,86,,sl_AdmissionAssessmentDimensionOneDisorder,909,0,0,SUCCESS,2026-08-17T00:12:19.802Z,77f58b99-e250-4627-9f17-559331ecd0ef
2.02608E+17,2.02608E+13,5,33,sl_8x8_Users,5705,0,0,SUCCESS,2026-08-28T06:46:33.576Z,6f91deae-0832-4a56-ab71-80188798e1a1
2.02608E+17,2.02608E+17,106,7161,br_Cows_v6,23798,0,0,SUCCESS,2026-08-18T09:05:19.149Z,08f45940-4fba-4d40-8013-5941939f8b2e
2.02608E+17,2.02608E+17,86,,sl_AdmissionAssessmentDimensionOneDisorder,904,0,0,SUCCESS,2026-08-10T09:56:01.413Z,6ef3fd30-03b0-4dcd-9022-3df447f4d036
2.02608E+17,2.02608E+13,5,33,sl_8x8_Users,5627,0,0,SUCCESS,2026-08-10T07:48:09.278Z,16a75514-afc2-4aaf-9331-e34f7fb9f5b5
2.02608E+17,2.02608E+13,4,30,br_8x8_Users,5652,0,0,SUCCESS,2026-08-13T15:11:40.229Z,6cba3a07-87e1-4e5a-809c-65a43422107a
2.02608E+17,2.02608E+13,4,30,br_8x8_Users,5652,0,0,SUCCESS,2026-08-14T03:00:31.910Z,360959fd-08b4-465c-be75-1bdb70b33137
2.02608E+17,2.02608E+17,107,8560,sl_uasched,11770,0,0,SUCCESS,2026-08-15T11:45:24.884Z,09bdfa13-0c4c-4ca3-9dd3-abd349cbbab4
2.02608E+17,2.02608E+17,107,8564,slv_mncomprehensiveassessmentlevelofcare,1051,0,0,SUCCESS,2026-08-12T03:50:30.130Z,72952692-3a45-4fdd-be32-4592206c2867
2.02608E+17,2.02608E+17,107,8564,slv_mncomprehensiveassessmentlevelofcare,1053,0,0,SUCCESS,2026-08-13T04:14:04.310Z,11ed6329-841a-4e7a-bfb1-61191c79c28e
2.02608E+17,2.02608E+17,107,8564,slv_mncomprehensiveassessmentlevelofcare,1054,0,0,SUCCESS,2026-08-14T06:19:22.669Z,9a6b8567-8347-49cb-b213-618351c5e21c
2.02608E+17,2.02608E+17,106,7960,brz_MNComprehensiveAssessmentLevelOfCare,1051,0,0,SUCCESS,2026-08-12T10:47:40.695Z,1325a4eb-aa02-4bc9-9fae-d06e40a0cece
