RunId,ConfigId,ConfigName,PipelineName,PipelinePath,SourceSystem,TargetName,EnvironmentName,StartTime,EndTime,Status,TriggerType,TriggeredBy,TotalTasks,SuccessTasks,FailedTasks,SkippedTasks,RestartFlag,AttemptNumber,CreatedAt,PipelineRunId
20260907051417,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-09-07T05:14:27.391Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-09-07T05:14:27.391Z,bca532eb-83d7-4e3e-bde2-7cc9db9dc122
20260831122522,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T12:25:40.641Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T12:25:40.641Z,0da6e75e-5a69-4862-a340-cdd568a9c764
20260831034816,100,QQ_GLTRAN Bronze Pipeline,pl_qq_gltran,"",MYSQLSERVER,BR,DEV,2026-08-31T03:48:29.912Z,,RUNNING,SCHEDULE,Fabric,1,0,0,0,0,1,2026-08-31T03:48:29.912Z,3628463a-db79-41f2-a479-fe0ce7b794c4
202609031624201027,44,SAMMS Global Silver,pl_execute_samms_global,,LAKEHOUSE,SL,DEV,2026-09-03T16:24:04.461Z,,RUNNING,MANUAL,MANUAL,13,0,0,0,0,1,2026-09-03T16:24:04.461Z,65c89a63-c52f-4888-8f50-2696177d2490
202609031624101027,43,SAMMS Global Bronze,pl_execute_samms_global,,SAMMS,BR,DEV,2026-09-03T16:24:04.461Z,,RUNNING,MANUAL,MANUAL,12,0,0,0,0,1,2026-09-03T16:24:04.461Z,65c89a63-c52f-4888-8f50-2696177d2490
20260908113536,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv123,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv123,AzureSQL5 Workflows,SL,DEV,2026-09-08T11:35:36.484Z,2026-09-08T11:36:58.431Z,FAILED,SCHEDULED,Fabric,7,0,1,0,0,1,2026-09-08T11:35:36.484Z,e50b54a8-071c-416b-b298-c3dbcd919ea8
20260907043521,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-07T05:08:34.244Z,2026-09-07T05:11:29.028Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,1,2,2026-09-07T05:08:34.244Z,56cee43e-77d1-47ce-9ee5-d3bb87c45c20
20260907054908,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-07T05:49:08.635Z,2026-09-07T05:55:34.631Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,0,1,2026-09-07T05:49:08.635Z,efcb7980-23b7-4dad-a613-0ec15e5af44a
20260907060848,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-07T06:08:48.706Z,2026-09-07T06:15:15.055Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,0,1,2026-09-07T06:08:48.706Z,cf11fb94-1c71-47fd-aff8-c68ca34de8c5
20260907202459,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-07T20:24:59.828Z,2026-09-07T20:31:42.050Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,0,1,2026-09-07T20:24:59.828Z,870e0242-5dd7-4aac-a78a-33a4dd219a39
20260907200457,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-07T20:04:57.285Z,2026-09-07T20:10:30.657Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,0,1,2026-09-07T20:04:57.285Z,df39e74e-3a35-4065-9433-2c4803081f3d
20260903065411,141,AzureSQL5 Workflows Silver Pipeline,nb_azuresql_05_slv_to_slv,BHG-DATA-PLATFORM-CORE-DEV/2_Engineering/2_Transformation/AzureSQL_05/nb_azuresql_05_slv_to_slv,AzureSQL5 Workflows,SL,DEV,2026-09-04T07:24:51.543Z,2026-09-04T07:28:30.312Z,SUCCESS,SCHEDULED,Fabric,10,10,0,0,1,5,2026-09-04T07:24:51.543Z,e1eca275-7998-40b3-998f-4c7a1a01a736
